epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,693.496,0.42073,0.30472,0.81688,0.96396,0.98327,0.99173,0.91903,0.44571,0.24625,0.80615,0.000404375,0.000404375,0.000404375
43,709.621,0.42748,0.30324,0.81769,0.95876,0.9654,0.99031,0.91053,0.44405,0.28657,0.80563,0.00038375,0.00038375,0.00038375
44,726.115,0.41984,0.30228,0.81309,0.97158,0.9445,0.99099,0.91454,0.43916,0.26104,0.80398,0.000363125,0.000363125,0.000363125
45,741.609,0.42564,0.29687,0.81632,0.94807,0.97892,0.99138,0.91627,0.44517,0.27413,0.8052,0.0003425,0.0003425,0.0003425
46,757.808,0.41338,0.28056,0.81363,0.98036,0.97512,0.99322,0.92169,0.42995,0.22882,0.80135,0.000321875,0.000321875,0.000321875
47,774.082,0.41429,0.28425,0.81344,0.97799,0.97685,0.9918,0.91957,0.45065,0.23588,0.80631,0.00030125,0.00030125,0.00030125
48,790.226,0.423,0.27979,0.81561,0.98333,0.97329,0.99295,0.92038,0.42952,0.22942,0.80029,0.000280625,0.000280625,0.000280625
49,806.107,0.40941,0.27471,0.81092,0.97758,0.97128,0.994,0.91681,0.44605,0.23159,0.80533,0.00026,0.00026,0.00026
50,822.215,0.41775,0.26587,0.81632,0.97079,0.97861,0.99012,0.91889,0.44548,0.24496,0.80423,0.000239375,0.000239375,0.000239375
51,841.158,0.40098,0.23123,0.80457,0.96793,0.97802,0.99165,0.92018,0.44158,0.23313,0.80411,0.00021875,0.00021875,0.00021875
52,856.712,0.39797,0.2319,0.79859,0.98488,0.97455,0.99118,0.91693,0.44477,0.24988,0.804,0.000198125,0.000198125,0.000198125
53,871.957,0.39244,0.23261,0.80009,0.94483,0.94902,0.98154,0.90587,0.44254,0.33288,0.8065,0.0001775,0.0001775,0.0001775
54,887.717,0.39275,0.22317,0.79997,0.94541,0.95921,0.98499,0.9143,0.44902,0.31926,0.80809,0.000156875,0.000156875,0.000156875
55,904.05,0.39271,0.21255,0.80024,0.97101,0.97755,0.98971,0.91721,0.45201,0.24247,0.80737,0.00013625,0.00013625,0.00013625
56,918.943,0.38506,0.20753,0.79922,0.95966,0.97012,0.98839,0.92012,0.43753,0.27667,0.80168,0.000115625,0.000115625,0.000115625
57,934.434,0.38778,0.20297,0.79974,0.97811,0.96784,0.98872,0.91899,0.44134,0.25849,0.80456,9.5e-05,9.5e-05,9.5e-05
58,949.814,0.38396,0.20889,0.79373,0.97247,0.96862,0.98618,0.91871,0.43489,0.2702,0.8027,7.4375e-05,7.4375e-05,7.4375e-05
59,964.966,0.37868,0.20431,0.7983,0.9748,0.97498,0.98831,0.92041,0.4289,0.24112,0.80198,5.375e-05,5.375e-05,5.375e-05
60,981.265,0.37548,0.18716,0.79499,0.97991,0.97317,0.98965,0.92382,0.42809,0.23542,0.80154,3.3125e-05,3.3125e-05,3.3125e-05
